,AgeRange,Gender,CountryofBirth,RegionofBirth,CountryofCurrentResidence,RegionofCurrentResidence,CountryforK-12Eduation,RegionforK-12Education,NumbeofForeignLanguageLearned,NumberofLanguagesFluent,NumberofCountriesLivedIn,CountriesWithCitizanship
50,18 to 24,Female,Russian Federation,Europe,Netherlands,Europe,Russian Federation,Europe,2,2,1,1
51,18 to 24,Male,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,,3,0,1,1
52,18 to 24,Male,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,,2,0,1,1
53,18 to 24,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,2,1
54,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
55,18 to 24,Female,Kenya,Africa,United Kingdom of Great Britain and Northern Ireland,Europe,Kenya,Africa,1,1,2,1
56,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,2,0,1,1
57,25 to 34,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,1,1,1,1
58,25 to 34,Female,Canada,North America,Canada,North America,Canada,North America,3,2,2,1
59,25 to 34,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,,United Kingdom of Great Britain and Northern Ireland,,1,1,1,1
60,18 to 24,Male,Germany,Europe,Netherlands,Europe,Germany,Europe,2,2,3,1
61,25 to 34,Female,Namibia,Africa,Netherlands,Europe,Indonesia,Asia,5,1,4,1
62,25 to 34,Female,Brazil,Latin America and the Caribbean,Germany,Europe,Brazil,Latin America and the Caribbean,3,1,3,1
63,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,5,1,1,1
64,25 to 34,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
65,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,4,2,2,1
66,35 to 44,Female,Japan,Asia,United Kingdom of Great Britain and Northern Ireland,Europe,Japan,Asia,1,1,2,1
67,18 to 24,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,4,2,1,1
68,18 to 24,Male,Namibia,Africa,New Zealand,Oceania,Netherlands,Europe,3,2,4,1
69,25 to 34,Female,Turkey,Europe,Germany,Europe,Turkey,Europe,3,1,3,1
70,25 to 34,Male,France,Europe,France,Europe,France,Europe,2,1,2,1
71,35 to 44,Female,United States of America (Midwest),North America,Australia,Oceania,United States of America (Midwest),North America,1,0,3,1
72,35 to 44,Male,United States of America (Northeast),North America,United States of America (Northeast),North America,United States of America (Northeast),North America,2,1,1,1
73,18 to 24,Female,Netherlands,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,Netherlands,Europe,4,2,2,1
74,18 to 24,Female,Austria,Europe,Austria,Europe,Austria,Europe,2,1,2,2
75,35 to 44,Female,Kazakhstan,Asia,Germany,Europe,Russian Federation,Europe,2,2,3,1
76,25 to 34,Female,Germany,Europe,Germany,Europe,Germany,Europe,3,1,3,3
77,18 to 24,Female,Germany,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,Germany,Europe,1,1,2,1
78,25 to 34,Female,Germany,Europe,Germany,Europe,Germany,Europe,4,4,2,2
79,25 to 34,Male,United Kingdom of Great Britain and Northern Ireland,Europe,United States of America (West),North America,United States of America (South),North America,0,0,3,1
80,25 to 34,Male,United States of America (Midwest),North America,United States of America (Northeast),North America,United States of America (Northeast),North America,1,0,1,1
81,18 to 24,Female,China,Asia,China,Asia,China,Asia,2,2,2,1
82,25 to 34,Female,Australia,Oceania,Germany,Europe,Australia,Oceania,3,2,3,3
83,18 to 24,Male,Austria,Europe,Austria,Europe,Austria,Europe,3,1,3,1
84,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland,Europe,2,0,1,1
85,18 to 24,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,2,1,2,1
86,35 to 44,Female,Russian Federation,Europe,Austria,Europe,Russian Federation,Europe,2,1,2,1
87,25 to 34,Female,Belgium,Europe,Belgium,Europe,Belgium,Europe,4,2,1,1
88,18 to 24,Male,United States of America (Northeast),North America,United States of America (Northeast),North America,United States of America (Northeast),North America,1,0,2,3
89,35 to 44,Male,Switzerland,Europe,Switzerland,Europe,Switzerland,Europe,4,2,1,1
90,18 to 24,Female,China,Asia,United States of America (South),North America,China,Asia,3,1,2,1
91,25 to 34,Male,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,2,1,1
92,25 to 34,Female,Mexico,North America,United Kingdom of Great Britain and Northern Ireland,Europe,Mexico,North America,1,1,2,1
93,35 to 44,Male,Australia,Oceania,Singapore,Asia,Australia,Oceania,3,0,3,1
94,25 to 34,Female,Nigeria,Africa,Germany,Europe,Nigeria,Africa,1,1,2,1
95,35 to 44,Male,United Arab Emirates,Asia,United Arab Emirates,Asia,United Arab Emirates,Asia,2,2,2,1
96,35 to 44,Female,Philippines,Asia,Malaysia,Asia,Philippines,Asia,1,1,2,1
97,18 to 24,Male,Germany,Europe,Netherlands,Europe,Germany,Europe,3,2,3,1
98,18 to 24,Female,Australia,Oceania,Australia,Oceania,Australia,Oceania,1,1,1,1
99,25 to 34,Male,Peru,Latin America and the Caribbean,Germany,Europe,Peru,Latin America and the Caribbean,3,2,2,1
100,25 to 34,Female,Singapore,Asia,Singapore,Asia,Singapore,Asia,0,1,1,1
101,25 to 34,Female,Netherlands,Europe,Netherlands,Europe,Netherlands,Europe,3,1,1,1
102,18 to 24,Female,Indonesia,Asia,Indonesia,Asia,Indonesia,Asia,3,1,2,1
103,25 to 34,Female,Philippines,Asia,Japan,Asia,Philippines,Asia,1,1,1,1
104,35 to 44,Female,New Zealand,Oceania,New Zealand,Oceania,New Zealand,Oceania,2,1,1,1
105,18 to 24,Male,Malaysia,Asia,Canada,North America,Germany,Europe,5,3,5,1
106,18 to 24,Female,United States of America (South),North America,United States of America (South),North America,United States of America (South),North America,1,1,1,1
107,25 to 34,Male,Malaysia,Asia,Canada,North America,Canada,North America,2,2,2,1
108,18 to 24,Female,United States of America (Midwest),North America,United States of America (West),North America,India,Asia,2,1,4,1
109,25 to 34,Male,United States of America (Northeast),North America,United States of America (Midwest),North America,United States of America (Midwest),North America,1,1,1,1
110,18 to 24,Female,United States of America (Northeast),North America,United States of America (Northeast),North America,United Kingdom of Great Britain and Northern Ireland,Europe,3,0,2,2
111,18 to 24,Female,United Kingdom of Great Britain and Northern Ireland,Europe,United States of America (Northeast),North America,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2,2
112,18 to 24,Female,United States of America (Northeast),North America,United States of America (Northeast),North America,United States of America (Northeast),North America,1,0,1,1
113,18 to 24,Male,United States of America (Northeast),North America,United States of America (South),North America,United States of America (Northeast),North America,3,0,1,1
114,18 to 24,Male,Republic of Korea,Asia,Austria,Europe,Austria,Europe,5,4,4,2
115,18 to 24,Female,United States of America (South),North America,United States of America (South),North America,United Kingdom of Great Britain and Northern Ireland,Europe,2,0,3,1
