,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Female,,Ukraine,United Kingdom of Great Britain and Northern Ireland,Hungary,2,English,German,,,,,,,,,,,,,,English,German,,,,,,,,,,,,,,3,,,,,,,,,,,Hungary
,,,,,,,,,25 to 34,Female,,Germany,United Kingdom of Great Britain and Northern Ireland,Germany,2,English,,,French,,,,,,,,,,,,English,German,,,,,,,,,,,,,,5+,,,,Germany,,,,,,,
,,,,,,,,,18 to 24,Female,,Canada,Canada,Canada,2,,,,French,,,,,,,,,,,Punjabi,,,,,,,,,,,,,,,Punjabi,3,,,,,,,,,,,Canada
,,,,,,,,,18 to 24,Female,,Spain,Spain,Spain,3,English,,,French,,,,,,Italian,,,,,,English,,,,,,,,,,,,,,,3,,,,,,,,,Spain,,
,,,,,,,,,18 to 24,Female,,Peru,Japan,Peru,2,English,,,,,,,,,,,Japanese,,,,English,,,,,,,,,,,Japanese,,,,3,,,,,,,,,,,Peru
,,,,,,,,,35 to 44,Male,,United States of America (Midwest),United States of America (South),United States of America (Midwest),2,English,,Spanish,French,,,,,,,,,,,,,,,,,,,,,,,,,,,2,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,4,English,German,,French,,,,,,,,,,,Dutch,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
,,,,,,,,,18 to 24,Female,,Russian Federation,Germany,Russian Federation,4,English,German,Spanish,,Mandarin,,,,,,,,,,,English,German,,,,,,,,,,,,,,2,,,,,,,,Russia,,,
,,,,,,,,,25 to 34,Female,,Netherlands,Netherlands,Dominican Republic,2,English,,Spanish,,,,,,,,,,,,,English,,Spanish,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Male,,Netherlands,Netherlands,Netherlands,3,English,German,Spanish,,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,holland
,,,,,,,,,25 to 34,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,0,English,,,,,,,,,,,,,,Romanian,,,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,18 to 24,Male,,United States of America (West),United States of America (West),Austria,2,,German,,French,,,,,,,,,,,,English,,,French,,,,,,,,,,,,3,United States,,,,,,,,,,
,,,,,,,,,25 to 34,Female,,Italy,Italy,Italy,3,English,German,Spanish,,,,,,,,,,,,,,German,Spanish,,,,,,,,,,,,,2,,UK,,,,,,,,,
,,,,,,,,,25 to 34,Female,,India,India,India,1,English,,,,,,,,,,,,,,,English,,,,,,,Hindi,,,,,,,,1,,,,,,,,,,,india
,,,,,,,,,25 to 34,Male,,Germany,Ecuador,Germany,4,English,German,Spanish,French,,,,,,,,,,,,English,German,,French,,,,,,,,,,,,5+,,,,Germany,,,,,,,
,,,,,,,,,18 to 24,Female,,Russian Federation,Netherlands,Russian Federation,2,English,,,French,,,,,,,,,,,,English,,,,,,,,Russian,,,,,,,1,,,,,,,,Russia,,,
,,,,,,,,,18 to 24,Male,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,3,,,,French,Mandarin,,,,,Italian,,,,,,,,,,,,,,,,,,,,,1,,UK,,,,,Italy,,,,
,,,,,,,,,18 to 24,Male,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,English,,Spanish,French,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,Danish,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Denmark
,,,,,,,,,18 to 24,Female,,Kenya,United Kingdom of Great Britain and Northern Ireland,Kenya,1,,,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,kenya
,,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,,German,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,25 to 34,Female,,Netherlands,Netherlands,Netherlands,1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,25 to 34,Female,,Canada,Canada,Canada,3,English,,Spanish,French,,,,,,,,,,,,English,,,French,,,,,,,,,,,,2,,,,,,,,,,,Canada
,,,,,,,,,25 to 34,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,18 to 24,Male,,Germany,Netherlands,Germany,2,English,,Spanish,,,,,,,,,,,,,English,German,,,,,,,,,,,,,hungarian,3,,,,Germany,,,,,,,
,,,,,,,,,25 to 34,Female,,Namibia,Netherlands,Indonesia,5+,English,,Spanish,,,,,,,,,Japanese,,,"Indonesian, Dutch",English,,,,,,,,,,,,,,Indonesian,4,,,,,,,,,,,Indonesia
,,,,,,,,,25 to 34,Female,,Brazil,Germany,Brazil,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,3,,,,,,,,,,,Brazil
,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,5+,English,German,,French,,,,,,,,,,,Greek and Latin,English,,,,,,,,,,,,,,,1,,,,,,,,,,,The Netherlands
,,,,,,,,,25 to 34,Female,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,4,English,German,Spanish,French,,,,,,,,,,,Dutch,English,,,,,,,,,,,,,,dutch,2,,,,,,,,,,,the Netherlands
,,,,,,,,,35 to 44,Female,,Japan,United Kingdom of Great Britain and Northern Ireland,Japan,1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Japan
,,,,,,,,,18 to 24,Male,,Netherlands,Netherlands,Netherlands,4,English,German,,French,,,,,,,,,,,Dutch,English,,,,,,,,,,,,,,,1,,,,,,,,,,,the Netherlands
,,,,,,,,,18 to 24,Male,,Namibia,New Zealand,Netherlands,3,English,German,,,,,,,,,,,,,Dutch,English,,,,,,,,,,,,,,Dutch,4,,,,,,,,,,,"Netherlands, Greece"
,,,,,,,,,25 to 34,Female,,Turkey,Germany,Turkey,3,English,German,Spanish,,,,,,,,,,,,,English,,,,,,,,,,,,,,,3,,,,,,,,,,,Turkey
,,,,,,,,,25 to 34,Male,,France,France,France,2,English,,Spanish,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,France,,,,,
,,,,,,,,,35 to 44,Female,,United States of America (Midwest),Australia,United States of America (Midwest),1,,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,United States,,,,,,,,,,
,,,,,,,,,35 to 44,Male,,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),2,English,,,,,,,Hindi,,,,,,,,,,,,,,,Hindi,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,United Kingdom of Great Britain and Northern Ireland,Netherlands,4,English,German,Spanish,French,,,,,,,,,,,,English,German,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands 
,,,,,,,,,18 to 24,Female,,Austria,Austria,Austria,2,English,,,,,,,,,Italian,,,,,,English,,,,,,,,,,,,,,,2,,,Austria,,,,,,,,Finland
,,,,,,,,,35 to 44,Female,,Kazakhstan,Germany,Russian Federation,2,English,German,,,,,,,,,,,,,,English,German,,,,,,,Russian,,,,,,,3,,,,,,,,Russia,,,
,,,,,,,,,25 to 34,Female,,Germany,Germany,Germany,3,English,,Spanish,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,3,,,,Germany,,,,,,,"Canada, Norway"
,,,,,,,,,18 to 24,Female,,Germany,United Kingdom of Great Britain and Northern Ireland,Germany,1,English,German,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,Germany,,,,,,,
,,,,,,,,,25 to 34,Female,,Germany,Germany,Germany,4,English,,Spanish,,,,,,,Italian,,,,,Greek,English,German,,,,,,,,Italian,,,,,Greek,2,,,,Germany,,,,,,,Greece
,,,,,,,,,25 to 34,Male,,United Kingdom of Great Britain and Northern Ireland,United States of America (West),United States of America (South),0,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,United States,,,,,,,,,,
,,,,,,,,,25 to 34,Male,,United States of America (Midwest),United States of America (Northeast),United States of America (Northeast),1,English,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,Only fluent in native language,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,China,China,China,2,English,,,,,,,,,,,Japanese,,,,English,,,,Mandarin,,,,,,,,,,,2,,,,,China,,,,,,
,,,,,,,,,25 to 34,Female,,Australia,Germany,Australia,3,English,German,,,,,,,,Italian,,,,,,English,German,,,,,,,,,,,,,,3,,UK,,Germany,,,,,,,Australia
,,,,,,,,,18 to 24,Male,,Austria,Austria,Austria,3,English,German,Spanish,,,,,,,,,,Turkish,,,English,,,,,,,,,,,,,,,3,,,Austria,,,,,,,,
,,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,2,,,Spanish,French,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,UK,,,,,,,,,
,,,,,,,,,18 to 24,Female,,Netherlands,Netherlands,Netherlands,2,English,,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Netherlands
,,,,,,,,,35 to 44,Female,,Russian Federation,Austria,Russian Federation,2,English,German,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,Russia,,,
,,,,,,,,,25 to 34,Female,,Belgium,Belgium,Belgium,4,English,German,Spanish,,,,,,,,,,,,Dutch,English,,,,,,,,,,,,,,Dutch,1,,,,,,,,,,,Belgium
,,,,,,,,,18 to 24,Male,,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),1,English,,Spanish,French,,,,,,,,,,,,,,,,,,,,,,,,,,,2,United States,UK,,,,,,,,,Ireland
,,,,,,,,,35 to 44,Male,,Switzerland,Switzerland,Switzerland,4,English,German,Spanish,French,,,,,,,,,,,,English,,,French,,,,,,,,,,,,1,,,,,,,,,,,Switzerland
,,,,,,,,,18 to 24,Female,,China,United States of America (South),China,3,English,,,French,Mandarin,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,China,,,,,,
,,,,,,,,,25 to 34,Male,,Netherlands,Netherlands,Netherlands,3,English,German,,French,,,,,,,,,,,,English,German,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,25 to 34,Female,,Mexico,United Kingdom of Great Britain and Northern Ireland,Mexico,1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Mexico
,,,,,,,,,35 to 44,Male,,Australia,Singapore,Australia,3,,,,,,,,,Russian,Italian,,Japanese,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,25 to 34,Female,,Nigeria,Germany,Nigeria,1,,,,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,nigeria
,,,,,,,,,35 to 44,Male,,United Arab Emirates,United Arab Emirates,United Arab Emirates,2,English,,,,,Arabic,,,,,,,,,,English,,,,,Arabic,,,,,,,,,,2,,,,,,,,,,,Uae
,,,,,,,,,35 to 44,Female,,Philippines,Malaysia,Philippines,1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Philippines
,,,,,,,,,18 to 24,Male,,Germany,Netherlands,Germany,3,English,,,French,,,,,,Italian,,,,,,English,,,,,,,,,,,,,,,3,,,,Germany,,,,,,,
,,,,,,,,,18 to 24,Female,,Australia,Australia,Australia,1,English,,,,,,,,,,,,Turkish,,,,,,,,,,,,,,,Turkish,,,1,,,,,,,,,,,Turkey and australia
,,,,,,,,,25 to 34,Male,,Peru,Germany,Peru,3,English,German,,,,,,,,,,,,,,English,German,,,,,,,,,,,,,,2,,,,,,,,,,,Peru
,,,,,,,,,25 to 34,Female,,Singapore,Singapore,Singapore,0,English,,,,,,,,,,,,,,,,,,,Mandarin,,,,,,,,,,,1,,,,,,,,,,,Singapore
,,,,,,,,,25 to 34,Female,,Netherlands,Netherlands,Netherlands,3,English,German,Spanish,French,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,,,,,,,,,,,Netherlands
,,,,,,,,,18 to 24,Female,,Indonesia,Indonesia,Indonesia,3,English,,,,Mandarin,,,,,,,,,,Indonesian,English,,,,,,,,,,,,,,,2,,,,,,,,,,,Indonesia
,,,,,,,,,25 to 34,Female,,Philippines,Japan,Philippines,1,English,,,,,,,,,,,,,,,English,,,,,,,,,,,Japanese,,,,1,,,,,,,,,,,Japan
,,,,,,,,,35 to 44,Female,,New Zealand,New Zealand,New Zealand,2,English,,,,,,,,,,,,,,Maori,English,,,,,,,,,,,,,,,1,,,,,,,,,,,New Zealand
,,,,,,,,,18 to 24,Male,,Malaysia,Canada,Germany,5+,English,German,Spanish,,,Arabic,Korean,,,,,,,,Greek,English,German,,,,,Korean,,,,,,,,,5+,,,,,,,,,,Korea,
,,,,,,,,,18 to 24,Female,,United States of America (South),United States of America (South),United States of America (South),1,,,Spanish,,,,,,,,,,,,,English,,Spanish,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,25 to 34,Male,,Malaysia,Canada,Canada,2,English,,,,Mandarin,,,,,,,,,,Cantonese ,English,,,,,,,,,,,,,,Cantonese,2,,,,,,,,,,,Canada
,,,,,,,,,18 to 24,Female,,United States of America (Midwest),United States of America (West),India,2,English,,Spanish,,,,,Hindi,,,,,,,,,,,,,,,Hindi,,,,,,,,4,United States,,,,,,,,,,
,,,,,,,,,25 to 34,Male,,United States of America (Northeast),United States of America (Midwest),United States of America (Midwest),1,English,German,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Female,,United States of America (Northeast),United States of America (Northeast),United Kingdom of Great Britain and Northern Ireland,3,,,Spanish,French,,,,,,,,,,,Latin,,,,,,,,,,,,,,,,2,United States,UK,,,,,,,,,
,,,,,,,,,18 to 24,Female,,United Kingdom of Great Britain and Northern Ireland,United States of America (Northeast),United Kingdom of Great Britain and Northern Ireland,1,,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,2,United States,UK,,,,,,,,,
,,,,,,,,,18 to 24,Female,,United States of America (Northeast),United States of America (Northeast),United States of America (Northeast),1,English,,,French,,,,,,,,,,,,,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Male,,United States of America (Northeast),United States of America (South),United States of America (Northeast),3,English,,Spanish,French,,,,,,,,,,,Hebrew ,,,,,,,,,,,,,,,,1,United States,,,,,,,,,,
,,,,,,,,,18 to 24,Male,,Republic of Korea,Austria,Austria,5+,English,German,Spanish,,Mandarin,,Korean,,,,,,,,,English,German,Spanish,,Mandarin,,,,,,,,,,,4,,,Austria,,,,,,,Korea,
,,,,,,,,,18 to 24,Female,,United States of America (South),United States of America (South),United Kingdom of Great Britain and Northern Ireland,2,,German,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,United States,,,,,,,,,,
